title,ingredients,directions,formatted_ingredients,formatted_ingredient_list,formatted_directions
Mexican Cookie Rings,"[""1 1/2 c. sifted flour"", ""1/2 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. butter"", ""2/3 c. sugar"", ""3 egg yolks"", ""1 tsp. vanilla"", ""multi-colored candies""]","[""Sift flour, baking powder and salt together."", ""Cream together butter and sugar."", ""Add egg yolks and vanilla."", ""Beat until light and fluffy."", ""Mix in sifted dry ingredients."", ""Shape into 1-inch balls."", ""Push wooden spoon handle through center (twist)."", ""Shape into rings."", ""Dip each cookie into candies."", ""Place on lightly greased baking sheets."", ""Bake in 375\u00b0 oven for 10 to 12 minutes or until golden brown."", ""Cool on racks."", ""Serves 2 dozen.""]","flour = Ingredient('flr1', 'sifted flour', 180, over='too dry', under='too runny')
bpow = Ingredient('bkp1', 'baking powder', 2, over='too bitter', under='too flat')
salt = Ingredient('salt', 'salt', 3, over='too salty', under='too bland')
butter = Ingredient('butr', 'butter', 114, over='too greasy', under='too dry')
sugar = Ingredient('sugr', 'sugar', 133, over='too cloying', under='too insipid')
yolks = Ingredient('eylk', 'egg yolks', 51, over='too rich', under='too thin')
vanilla = Ingredient('vanl', 'vanilla', 5, over='too soapy', under='too bland')
candies = Ingredient('cand', 'multi-colored candies', 100, over='too sugary', under='too plain')

","ingredients = [flour, bpow, salt, butter, sugar, yolks, vanilla, candies]","t1 = Transformation('mix', 'Sift flour, baking powder and salt together.', [flour, bpow, salt], 'sifted_dry')
t2 = Transformation('mix', 'Cream together butter and sugar.', [butter, sugar], 'creamed_butter_sugar')
t3 = Transformation('mix', 'Add egg yolks and vanilla.', [t2.execute(), yolks, vanilla], 'batter_base')
t4 = Transformation('stir', 'Beat until light and fluffy.', [t3.execute()], 'light_fluffy_base')
t5 = Transformation('mix', 'Mix in sifted dry ingredients.', [t4.execute(), t1.execute()], 'cookie_dough')
t6 = Transformation('stir', 'Shape into 1-inch balls.', [t5.execute()], 'dough_balls')
t7 = Transformation('stir', 'Push wooden spoon handle through center (twist).', [t6.execute()], 'ring_prep')
t8 = Transformation('stir', 'Shape into rings.', [t7.execute()], 'rings_shaped')
t9 = Transformation('mix', 'Dip each cookie into candies.', [t8.execute(), candies], 'candied_rings')
t10 = Transformation('stir', 'Place on lightly greased baking sheets.', [t9.execute()], 'cookies_on_sheet')
t11 = Transformation('bake', 'Bake in 375° oven for 10 to 12 minutes or until golden brown.', [t10.execute()], 'baked_cookies')
t12 = Transformation('chill', 'Cool on racks.', [t11.execute()], 'cooled_cookies')
t13 = Transformation('stir', 'Serves 2 dozen.', [t12.execute()], 'servings_2_dozen')"
Chicken Divan,"[""1/4 c. margarine"", ""1/4 c. chopped onion (or as much as you want)"", ""chopped celery to taste"", ""1/4 c. flour"", ""1/8 tsp. curry powder"", ""1 can sliced mushrooms (save juice)"", ""1 can cream of celery soup"", ""1 pkg. chopped broccoli"", ""1 cubed chicken"", ""shredded Monterey Jack cheese""]","[""Melt margarine in skillet; saute onions and celery."", ""Remove from heat."", ""Stir in flour and curry powder."", ""Drain mushrooms and keep juice."", ""Add water to juice to make 1/2 cup liquid."", ""Stir liquid and soup into flour mixture; add mushrooms."", ""Cook until thick."", ""Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken."", ""Top with grated cheese."", ""Bake in a 350\u00b0 oven for about 20 minutes or in microwave until cheese is melted.""]","margarine = Ingredient('MARG', 'margarine', 57, over='too greasy', under='too scarce')
onion = Ingredient('ONIO', 'chopped onion', 38, over='too pungent', under='too bland')
celery = Ingredient('CLRY', 'chopped celery', 30, over='too strong', under='too bland')
flour = Ingredient('FLOR', 'flour', 30, over='too dense', under='too thin')
curry = Ingredient('CRRY', 'curry powder', 0, over='too spicy', under='too bland')
mushrooms = Ingredient('MUSH', 'sliced mushrooms', 113, over='too soggy', under='too dry')
celerysoup = Ingredient('CCEL', 'cream of celery soup', 300, over='too salty', under='too thin')
broccoli = Ingredient('BROK', 'chopped broccoli', 340, over='too soggy', under='too sparse')
chicken = Ingredient('CHKN', 'cubed chicken', 454, over='too dry', under='too undercooked')
jackcheese = Ingredient('JACK', 'shredded Monterey Jack cheese', 100, over='too greasy', under='too bland')
","ingredients = [margarine, onion, celery, flour, curry, mushrooms, celerysoup, broccoli, chicken, jackcheese]","t1 = Transformation('fry', 'Melt margarine in skillet; saute onions and celery.', [margarine, onion, celery], 'sauteed_onion_celery')
t2 = Transformation('chill', 'Remove from heat.', [t1.execute()], 'offheat_sauteed')
t3 = Transformation('stir', 'Stir in flour and curry powder.', [t2.execute(), flour, curry], 'flour_curry_mixture')
t4 = Transformation('mix', 'Drain mushrooms and keep juice.', [mushrooms], 'mushroom_juice')
t5 = Transformation('mix', 'Add water to juice to make 1/2 cup liquid.', [t4.execute()], 'mushroom_liquid')
t6 = Transformation('stir', 'Stir liquid and soup into flour mixture; add mushrooms.', [t3.execute(), t5.execute(), celerysoup, mushrooms], 'sauce_mixture')
t7 = Transformation('boil', 'Cook until thick.', [t6.execute()], 'thickened_sauce')
t8 = Transformation('mix', 'Arrange broccoli and cubed chicken in a large baking dish. Spoon sauce over chicken.', [broccoli, chicken, t7.execute()], 'assembled_casserole')
t9 = Transformation('mix', 'Top with grated cheese.', [t8.execute(), jackcheese], 'cheese_topped_casserole')
t10 = Transformation('bake', 'Bake in a 350° oven for about 20 minutes or in microwave until cheese is melted.', [t9.execute()], 'baked_casserole')"
Spaghetti Sauce To Can,"[""1/2 bushel tomatoes"", ""1 c. oil"", ""1/4 c. minced garlic"", ""6 cans tomato paste"", ""3 peppers (2 sweet and 1 hot)"", ""1 1/2 c. sugar"", ""1/2 c. salt"", ""1 Tbsp. sweet basil"", ""2 Tbsp. oregano"", ""1 tsp. Italian seasoning""]","[""Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice."", ""Put through the mill."", ""(I use a food processor and do my tomatoes uncooked."", ""I then add the garlic right to the juice.)"", ""Add peppers and onions to juice and remainder of ingredients."", ""Cook approximately 1 hour."", ""Put in jars and seal."", ""Yields 7 quarts.""]","tomatoes = Ingredient('tmt1', 'tomatoes', 12020, over='too acidic', under='too scarce')
oil = Ingredient('oil1', 'oil', 218, over='too greasy', under='too dry')
garlic = Ingredient('gar1', 'minced garlic', 32, over='too pungent', under='too mild')
paste = Ingredient('pst1', 'tomato paste', 1020, over='too concentrated', under='too watery')
peppers = Ingredient('ppr1', 'peppers', 320, over='too spicy', under='too bland')
sugar = Ingredient('sug1', 'sugar', 300, over='too sweet', under='too tart')
salt = Ingredient('slt1', 'salt', 144, over='too salty', under='too bland')
basil = Ingredient('bsl1', 'sweet basil', 2, over='too herbal', under='too bland')
oregano = Ingredient('org1', 'oregano', 4, over='too pungent', under='too bland')
italianseasoning = Ingredient('its1', 'Italian seasoning', 1, over='too herby', under='too flat')

","ingredients = [tomatoes, oil, garlic, paste, peppers, sugar, salt, basil, oregano, italianseasoning]","t1 = Transformation('fry', 'Cook ground or chopped peppers and onions in oil for 1/2 hour.', [peppers, oil], 'fried_peppers')
t2 = Transformation('boil', 'Cook tomatoes and garlic as for juice.', [tomatoes, garlic], 'cooked_tomato_garlic')
t3 = Transformation('mix', 'Put through the mill.', [t2.execute()], 'tomato_garlic_juice')
t4 = Transformation('mix', 'Add peppers and onions to juice and remainder of ingredients.', [t1.execute(), t3.execute(), paste, sugar, salt, basil, oregano, italianseasoning], 'sauce_mixture')
t5 = Transformation('boil', 'Cook approximately 1 hour.', [t4.execute()], 'cooked_sauce')"
Taco Salad Chip Dip,"[""8 oz. Ortega taco sauce"", ""8 oz. sour cream"", ""8 oz. cream cheese"", ""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""shredded lettuce"", ""1 large diced tomato"", ""1 medium diced onion"", ""1 large diced green pepper"", ""shredded Colby or Cheddar cheese""]","[""Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.""]","sauce = Ingredient('sauc', 'Ortega taco sauce', 227, over='too spicy', under='too bland')
sourcream = Ingredient('scrm', 'sour cream', 227, over='too sour', under='too dry')
creamcheese = Ingredient('crch', 'cream cheese', 227, over='too rich', under='too thin')
groundbeef = Ingredient('gbef', 'ground beef', 454, over='too greasy', under='too scant')
tacoseasoning = Ingredient('tase', 'taco seasoning', 28, over='too salty', under='too bland')
lettuce = Ingredient('lett', 'shredded lettuce', 100, over='too soggy', under='too scarce')
tomato = Ingredient('toma', 'diced tomato', 180, over='too watery', under='too scarce')
onion = Ingredient('onio', 'diced onion', 110, over='too sharp', under='too mild')
greenpepper = Ingredient('gpep', 'diced green pepper', 150, over='too bitter', under='too scarce')
cheese = Ingredient('ched', 'shredded Colby or Cheddar cheese', 113, over='too greasy', under='too scant')

","ingredients = [sauce, sourcream, creamcheese, groundbeef, tacoseasoning, lettuce, tomato, onion, greenpepper, cheese]","t1 = Transformation('mix', 'Mix taco sauce, sour cream and cream cheese.', [sauce, sourcream, creamcheese], 'cream_mixture')
t2 = Transformation('stir', 'Spread on pizza pan.', [t1.execute()], 'base_on_pan')
t3 = Transformation('fry', 'Brown meat.', [groundbeef], 'browned_meat')
t4 = Transformation('stir', 'Drain off fat and add taco seasoning.', [t3.execute(), tacoseasoning], 'seasoned_meat')
t5 = Transformation('stir', 'Spread over cream mixture.', [t2.execute(), t4.execute()], 'meat_over_base')
t6 = Transformation('stir', 'Layer with raw vegetables.', [t5.execute(), lettuce, tomato, onion, greenpepper], 'layered_with_vegetables')
t7 = Transformation('stir', 'Top with cheese. Serve with chips.', [t6.execute(), cheese], 'finished_dish')"
Chocolate Frango Mints,"[""1 pkg. devil's food cake mix"", ""1 pkg. chocolate fudge pudding mix (instant)"", ""8 oz. sour cream"", ""3/4 c. water"", ""1/2 c. Wesson oil"", ""4 eggs"", ""6 oz. chopped Frango mints""]","[""Mix ingredients together for 5 minutes."", ""Scrape bowl often. Last fold in chocolate chip mints."", ""Bake at 350\u00b0 for 35 to 40 minutes or until done (cake mix directions).""]","cake = Ingredient('DVC1', 'devils food cake mix', 432, over='too sweet', under='too weak')
pudding = Ingredient('PUD1', 'chocolate fudge pudding mix (instant)', 96, over='too gummy', under='too thin')
sourcream = Ingredient('SRC1', 'sour cream', 227, over='too sour', under='too dry')
water = Ingredient('WTR1', 'water', 180, over='too watery', under='too thick')
wessonoil = Ingredient('WES1', 'Wesson oil', 110, over='too oily', under='too dry')
eggs = Ingredient('EGG1', 'eggs', 200, over='too rubbery', under='too crumbly')
frango = Ingredient('FRG1', 'chopped Frango mints', 170, over='too minty', under='too bland')

","ingredients = [cake, pudding, sourcream, water, wessonoil, eggs, frango]","t1 = Transformation('mix', 'Mix ingredients together for 5 minutes.', [cake, pudding, sourcream, water, wessonoil, eggs], 'mixed_batter')
t2 = Transformation('stir', 'Fold in chocolate chip mints.', [t1.execute(), frango], 'mint_batter')
t3 = Transformation('bake', 'Bake at 350° for 35 to 40 minutes or until done (cake mix directions).', [t2.execute()], 'baked_cake')"
Reeses Cups(Candy)  ,"[""1 c. peanut butter"", ""3/4 c. graham cracker crumbs"", ""1 c. melted butter"", ""1 lb. (3 1/2 c.) powdered sugar"", ""1 large pkg. chocolate chips""]","[""Combine first four ingredients and press in 13 x 9-inch ungreased pan."", ""Melt chocolate chips and spread over mixture. Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard."", ""Keep in refrigerator.""]","peanut = Ingredient('PB01', 'peanut butter', 258, over='too oily', under='too bland')
graham = Ingredient('GRAC', 'graham cracker crumbs', 90, over='too dry', under='too sparse')
butter = Ingredient('BTTR', 'melted butter', 227, over='too greasy', under='too dry')
sugar = Ingredient('SUGR', 'powdered sugar', 454, over='too sweet', under='too bland')
chips = Ingredient('CHIP', 'chocolate chips', 340, over='too chocolaty', under='too plain')
","ingredients = [peanut, graham, butter, sugar, chips]","t1 = Transformation('mix', 'Combine first four ingredients and press in 13 x 9-inch ungreased pan.', [peanut, graham, butter, sugar], 'base_layer')
t2 = Transformation('boil', 'Melt chocolate chips until smooth.', [chips], 'melted_chocolate')
t3 = Transformation('mix', 'Spread melted chocolate over the base mixture.', [t1.execute(), t2.execute()], 'assembled_bars')
t4 = Transformation('chill', 'Refrigerate for about 20 minutes and cut into pieces before chocolate gets hard.', [t3.execute()], 'chilled_cut_bars')
t5 = Transformation('chill', 'Keep in refrigerator.', [t4.execute()], 'stored_bars')"
Buckeye Candy,"[""1 box powdered sugar"", ""8 oz. soft butter"", ""1 (8 oz.) peanut butter"", ""paraffin"", ""12 oz. chocolate chips""]","[""Mix sugar, butter and peanut butter."", ""Roll into balls and place on cookie sheet."", ""Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler."", ""Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.""]","powdered_sugar = Ingredient('PDSG', 'powdered sugar', 454, over='too sweet', under='too bland')
butter = Ingredient('BUTR', 'soft butter', 227, over='too greasy', under='too dry')
peanut_butter = Ingredient('PNBT', 'peanut butter', 227, over='too oily', under='too bland')
paraffin = Ingredient('PARA', 'paraffin', 0, over='too waxy', under='too absent')
chocolate_chips = Ingredient('CHIP', 'chocolate chips', 340, over='too chocolatey', under='too weak')

","ingredients = [powdered_sugar, butter, peanut_butter, paraffin, chocolate_chips]","t1 = Transformation('mix', 'Mix sugar, butter and peanut butter.', [powdered_sugar, butter, peanut_butter], 'peanut_butter_mixture')
t2 = Transformation('mix', 'Roll into balls and place on cookie sheet.', [t1.execute()], 'peanut_butter_balls')
t3 = Transformation('chill', 'Set in freezer for at least 30 minutes.', [t2.execute()], 'chilled_balls')
t4 = Transformation('boil', 'Melt chocolate chips and paraffin in double boiler.', [chocolate_chips, paraffin], 'melted_chocolate_mixture')
t5 = Transformation('mix', 'Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.', [t3.execute(), t4.execute()], 'buckeyes')"
Prize-Winning Meat Loaf,"[""1 1/2 lb. ground beef"", ""1 c. tomato juice"", ""3/4 c. oats (uncooked)"", ""1 egg, beaten"", ""1/4 c. chopped onion"", ""1/4 tsp. pepper"", ""1 1/2 tsp. salt""]","[""Mix well."", ""Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Bake in preheated moderate oven."", ""Bake at 350\u00b0 for 1 hour."", ""Let stand 5 minutes before slicing."", ""Makes 8 servings.""]","groundbeef = Ingredient('gdbf', 'ground beef', 680, over='too greasy', under='too scant')
tomatojuice = Ingredient('tmjc', 'tomato juice', 240, over='too soupy', under='too dry')
oats = Ingredient('oats', 'oats (uncooked)', 68, over='too gummy', under='too sparse')
egg = Ingredient('egg1', 'egg, beaten', 50, over='too rich', under='too dry')
onion = Ingredient('onio', 'chopped onion', 40, over='too pungent', under='too bland')
pepper = Ingredient('pepr', 'pepper', 1, over='too peppery', under='too mild')
salt = Ingredient('salt', 'salt', 9, over='too salty', under='too bland')

","ingredients = [groundbeef, tomatojuice, oats, egg, onion, pepper, salt]","t1 = Transformation('mix', 'Mix well.', [groundbeef, tomatojuice, oats, egg, onion, pepper, salt], 'meatloaf_mixture')
t2 = Transformation('mix', 'Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan.', [t1.execute()], 'panned_meatloaf')
t3 = Transformation('bake', 'Bake in preheated moderate oven.', [t2.execute()], 'partially_baked_meatloaf')
t4 = Transformation('bake', 'Bake at 350° for 1 hour.', [t3.execute()], 'baked_meatloaf')
t5 = Transformation('chill', 'Let stand 5 minutes before slicing.', [t4.execute()], 'rested_meatloaf')"
Watermelon Rind Pickles,"[""7 lb. watermelon rind"", ""7 c. sugar"", ""2 c. apple vinegar"", ""1/2 tsp. oil of cloves"", ""1/2 tsp. oil of cinnamon""]","[""Trim off green and pink parts of watermelon rind; cut to 1-inch cubes."", ""Parboil until tender, but not soft."", ""Drain. Combine sugar, vinegar, oil of cloves and oil of cinnamon; bring to boiling and pour over rind."", ""Let stand overnight."", ""In the morning, drain off syrup."", ""Heat and put over rind."", ""The third morning, heat rind and syrup; seal in hot, sterilized jars."", ""Makes 8 pints."", ""(Oil of cinnamon and clove keeps rind clear and transparent.)""]","rind = Ingredient('wrnd', 'watermelon rind', 3175, over='too soggy', under='too tough')
sugar = Ingredient('sugr', 'sugar', 1400, over='too sweet', under='too bland')
vinegar = Ingredient('apvc', 'apple vinegar', 480, over='too sour', under='too flat')
clove_oil = Ingredient('clov', 'oil of cloves', 2, over='too pungent', under='too faint')
cinnamon_oil = Ingredient('cinn', 'oil of cinnamon', 2, over='too overpowering', under='too weak')
","ingredients = [rind, sugar, vinegar, clove_oil, cinnamon_oil]","t1 = Transformation('mix', 'Trim off green and pink parts of watermelon rind; cut to 1-inch cubes.', [rind], 'cubed_rind')
t2 = Transformation('boil', 'Parboil until tender, but not soft.', [t1.execute()], 'parboiled_rind')
t3 = Transformation('mix', 'Combine sugar, vinegar, oil of cloves and oil of cinnamon.', [sugar, vinegar, clove_oil, cinnamon_oil], 'syrup_base')
t4 = Transformation('boil', 'Bring to boiling.', [t3.execute()], 'hot_syrup')
t5 = Transformation('mix', 'Pour hot syrup over rind.', [t2.execute(), t4.execute()], 'rind_in_syrup')
t6 = Transformation('chill', 'Let stand overnight.', [t5.execute()], 'marinated_rind')
t7 = Transformation('mix', 'Drain off syrup (collect syrup).', [t6.execute()], 'drained_syrup')
t8 = Transformation('mix', 'Drain off syrup (reserve rind).', [t6.execute()], 'drained_rind')
t9 = Transformation('boil', 'Heat syrup.', [t7.execute()], 'reheated_syrup')
t10 = Transformation('mix', 'Put heated syrup over rind.', [t8.execute(), t9.execute()], 'second_soak_rind')
t11 = Transformation('chill', 'Let stand overnight (second night).', [t10.execute()], 'soaked_rind')
t12 = Transformation('boil', 'Heat rind and syrup (third morning).', [t11.execute()], 'heated_rind_and_syrup')"
Angel Biscuits,"[""5 c. flour"", ""3 Tbsp. sugar"", ""4 tsp. baking powder"", ""1 1/2 pkg. dry yeast"", ""2 c. buttermilk"", ""1 tsp. soda"", ""1 1/2 sticks margarine"", ""1/2 c. warm water""]","[""Mix flour, sugar, baking powder, soda and salt together."", ""Cut in margarine, dissolve yeast in warm water."", ""Stir into buttermilk and add to dry mixture."", ""Cover and chill.""]","flour = Ingredient('flr1', 'flour', 600, over='too dense', under='too crumbly')
sugar = Ingredient('sug1', 'sugar', 38, over='too sweet', under='too bland')
bakingpowder = Ingredient('bkp1', 'baking powder', 16, over='too bitter', under='too flat')
yeast = Ingredient('yst1', 'dry yeast', 11, over='too yeasty', under='too weak')
buttermilk = Ingredient('bmk1', 'buttermilk', 480, over='too sour', under='too dry')
soda = Ingredient('sda1', 'baking soda', 5, over='too bitter', under='too flat')
margarine = Ingredient('mrg1', 'margarine', 170, over='too greasy', under='too dry')
warmwater = Ingredient('wtr1', 'warm water', 120, over='too watery', under='too dry')

","ingredients = [flour, sugar, bakingpowder, yeast, buttermilk, soda, margarine, warmwater]","t1 = Transformation('mix', 'Mix flour, sugar, baking powder, soda and salt together.', [flour, sugar, bakingpowder, soda], 'dry_mixture')
t2 = Transformation('mix', 'Cut in margarine into dry mixture.', [t1.execute(), margarine], 'crumbly_dry_mix')
t3 = Transformation('stir', 'Dissolve yeast in warm water.', [yeast, warmwater], 'yeast_solution')
t4 = Transformation('stir', 'Stir yeast solution into buttermilk.', [buttermilk, t3.execute()], 'buttermilk_yeast_mixture')
t5 = Transformation('mix', 'Add wet mixture to dry mixture.', [t2.execute(), t4.execute()], 'batter')
t6 = Transformation('chill', 'Cover and chill.', [t5.execute()], 'chilled_batter')"
Taco-Filled Green Pepper,"[""1 lb. Ground Beef"", ""1 pkg. taco seasoning"", ""1 san Kidney beans"", ""1 onion, chopped"", ""1 C salsa"", ""4 green peppers"", ""1 medium Tomato, chopped"", ""1/2 C cheddar cheese, shredded"", ""1/2 C sour cream""]","[""In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream.""]","groundbeef = Ingredient('GDBF', 'Ground Beef', 454, over='too fatty', under='too meager')
tacoseasoning = Ingredient('TCSN', 'taco seasoning', 28, over='too salty', under='too bland')
kidneybeans = Ingredient('KDBN', 'Kidney beans', 425, over='too mushy', under='too sparse')
onion = Ingredient('ONIN', 'onion, chopped', 110, over='too strong', under='too mild')
salsa = Ingredient('SLSA', 'salsa', 240, over='too watery', under='too scant')
greenpeppers = Ingredient('GRNP', 'green peppers', 480, over='too bitter', under='too few')
tomato = Ingredient('TMT0', 'Tomato, chopped', 123, over='too acidic', under='too lacking')
cheddarcheese = Ingredient('CHDR', 'cheddar cheese, shredded', 57, over='too greasy', under='too light')
sourcream = Ingredient('SRCR', 'sour cream', 120, over='too sour', under='too dry')

","ingredients = [groundbeef, tacoseasoning, kidneybeans, onion, salsa, greenpeppers, tomato, cheddarcheese, sourcream]","t1 = Transformation('fry', 'Brown the ground beef in a large skillet.', [groundbeef], 'brownedbeef')
t2 = Transformation('stir', 'Stir in taco seasoning, kidney beans, and salsa.', [t1.execute(), tacoseasoning, kidneybeans, salsa], 'meatmixture')
t3 = Transformation('boil', 'Bring the meat mixture to a boil.', [t2.execute()], 'boilingmeatmixture')
t4 = Transformation('boil', 'Reduce heat and simmer for about 5 minutes.', [t3.execute()], 'simmeredmeatmixture')
t5 = Transformation('boil', 'Boil the halved, cleaned green peppers for 3 minutes, then drain.', [greenpeppers], 'parboiledpeppers')
t6 = Transformation('mix', 'Spoon the meat mixture into the green peppers.', [t4.execute(), t5.execute()], 'stuffedpeppers')
t7 = Transformation('bake', 'Place stuffed peppers in an ungreased pan, cover, and bake at 350 degrees for 15–20 minutes until peppers are crisp and filling is heated through.', [t6.execute()], 'bakedstuffedpeppers')
t8 = Transformation('mix', 'Top with tomato, cheddar cheese, and sour cream.', [t7.execute(), tomato, cheddarcheese, sourcream], 'finishedstuffedpeppers')"
Cherry Pizza,"[""2 cans cherry pie mix"", ""1 box deluxe white cake mix"", ""1 stick butter"", ""1 c. ground nuts""]","[""Grease a 9 x 12-inch cake pan."", ""Spread cherry pie mix."", ""Sift cake mix and spread it dry over the cherries."", ""Top with ground nuts."", ""Melt butter and pour over top."", ""Bake 45 minutes in a 350\u00b0 oven.""]","cherrypiemix = Ingredient('CPMX', 'cherry pie mix', 1190, over='too sweet', under='too dry')
cakemix = Ingredient('CMIX', 'deluxe white cake mix', 432, over='too sweet', under='too dry')
butter = Ingredient('BTR1', 'butter', 113, over='too greasy', under='too dry')
groundnuts = Ingredient('GNUT', 'ground nuts', 120, over='too nutty', under='too bland')
","ingredients = [cherrypiemix, cakemix, butter, groundnuts]","t1 = Transformation('mix', 'Grease a 9 x 12-inch cake pan.', [], 'greased_pan')
t2 = Transformation('stir', 'Spread cherry pie mix.', [cherrypiemix, t1.execute()], 'cherry_layer')
t3 = Transformation('stir', 'Sift cake mix and spread it dry over the cherries.', [cakemix, t2.execute()], 'dry_topped_cherries')
t4 = Transformation('stir', 'Top with ground nuts.', [groundnuts, t3.execute()], 'nut_topped_cherries')
t5 = Transformation('stir', 'Melt butter and pour over top.', [butter, t4.execute()], 'butter_topped_cake')
t6 = Transformation('bake', 'Bake 45 minutes in a 350° oven.', [t5.execute()], 'baked_dump_cake')"
Quick Peppermint Puffs,"[""8 marshmallows"", ""2 Tbsp. margarine, melted"", ""1/4 c. crushed peppermint candy"", ""1 can crescent rolls""]","[""Dip marshmallows in melted margarine; roll in candy. Wrap a crescent triangle around each marshmallow, completely covering the marshmallow and square edges of dough tightly to seal."", ""Dip in margarine and place in a greased muffin tin."", ""Bake at 375\u00b0 for 10 to 15 minutes; remove from pan.""]","marshmallows = Ingredient('mshl', 'marshmallows', 56, over='too sweet', under='too few')
margarine = Ingredient('marg', 'margarine, melted', 28, over='too greasy', under='too dry')
peppermint = Ingredient('ppmc', 'crushed peppermint candy', 30, over='too minty', under='too bland')
crescentrolls = Ingredient('cres', 'crescent rolls', 227, over='too doughy', under='too few')

","ingredients = [marshmallows, margarine, peppermint, crescentrolls]","t1 = Transformation('mix', 'Dip marshmallows in melted margarine', [marshmallows, margarine], 'buttered_marshmallows')
t2 = Transformation('mix', 'Roll buttered marshmallows in candy', [t1.execute(), peppermint], 'candied_marshmallows')
t3 = Transformation('mix', 'Wrap a crescent triangle around each marshmallow and seal edges', [t2.execute(), crescentrolls], 'wrapped_marshmallows')
t4 = Transformation('mix', 'Dip wrapped marshmallows in margarine and place in a greased muffin tin', [t3.execute(), margarine], 'panned_rolls')
t5 = Transformation('bake', 'Bake at 375° for 10 to 15 minutes; remove from pan', [t4.execute()], 'baked_rolls')"
Eggless Milkless Applesauce Cake,"[""3/4 c. sugar"", ""1/2 c. shortening"", ""1 1/2 c. applesauce"", ""3 level tsp. soda"", ""1 tsp. each: cinnamon, cloves and nutmeg"", ""2 c. sifted flour"", ""1 c. raisins"", ""1 c. nuts""]","[""Mix Crisco with applesauce, nuts and raisins."", ""Sift dry ingredients and add."", ""Mix well."", ""Put in a greased and floured loaf pan or tube pan."", ""Bake in loaf pan at 350\u00b0 to 375\u00b0 for 45 to 60 minutes, layer pan at 375\u00b0 for 20 minutes or tube pan at 325\u00b0 for 1 hour.""]","sugar = Ingredient('sug1', 'granulated sugar', 150, over='too sweet', under='too bland')
shortening = Ingredient('shtg', 'shortening', 96, over='too greasy', under='too dry')
applesauce = Ingredient('appl', 'applesauce', 360, over='too soggy', under='too dry')
soda = Ingredient('soda', 'baking soda', 14, over='too soapy', under='too dense')
cinnamon = Ingredient('cinn', 'ground cinnamon', 3, over='too spicy', under='too bland')
cloves = Ingredient('clov', 'ground cloves', 2, over='too strong', under='too subtle')
nutmeg = Ingredient('ntmg', 'ground nutmeg', 2, over='too overpowering', under='too mild')
flour = Ingredient('flor', 'sifted flour', 240, over='too heavy', under='too thin')
raisins = Ingredient('rais', 'raisins', 150, over='too chewy', under='too sparse')
nuts = Ingredient('nutz', 'nuts', 120, over='too crunchy', under='too sparse')

","ingredients = [sugar, shortening, applesauce, soda, cinnamon, cloves, nutmeg, flour, raisins, nuts]","t1 = mix('combine wet base', 'Mix shortening with applesauce, nuts and raisins.', [shortening, applesauce, nuts, raisins], 'wet_base')
t2 = mix('prep dry mix', 'Sift dry ingredients.', [sugar, soda, cinnamon, cloves, nutmeg, flour], 'dry_mix')
t3 = mix('combine mixtures', 'Add dry ingredients to the wet mixture.', [t1.execute(), t2.execute()], 'batter')
t4 = stir('mix well', 'Mix well.', [t3.execute()], 'well_mixed_batter')
t5 = bake('bake cake', 'Put in a greased and floured loaf, layer, or tube pan and bake: loaf pan at 350°–375° for 45–60 min; layer pan at 375° for 20 min; tube pan at 325° for 1 hr.', [t4.execute()], 'baked_cake')"
